rain_1h,rain_24h,rain_72h,api_14d,soil_moisture,slope,soil_depth,rock_strength,ndvi,drainage,seismic_zone,road_cut,pore_pressure,ground_tilt,displacement_rate,risk
14.8792,43.6374,116.1112,122.0069,34.5681,42.0318,2.5666,4.15,0.5266,2.5016,4,0.5821,28.6792,0.2752,0.9573,0
8.5447,69.9634,105.6646,151.0248,20.4539,32.0884,1.6849,3.5654,0.528,2.5825,5,0.8843,28.8879,0.4638,1.249,1
23.4033,61.7673,162.53,184.7478,31.6122,26.2787,4.3191,5.8764,0.5657,2.1143,5,0.6978,30.7864,0.2294,1.9205,1
13.9126,50.2714,148.8052,216.2667,34.103,26.4042,3.2558,5.4552,0.6369,2.3014,5,0.5405,31.7834,0.6844,0.1415,1
4.6512,17.964,18.0865,11.6409,16.4322,38.2047,3.9142,3.3532,0.4373,2.84,4,0.6728,22.3089,1.2255,0.6975,0
2.8326,19.5755,22.9222,38.0397,18.1555,38.946,3.4571,5.1167,0.5411,1.5822,5,0.7413,18.5883,0.1725,1.2712,0
12.948,66.9578,76.8608,150.0346,30.1749,37.3452,3.8216,3.8199,0.5881,2.331,5,1.0,14.1003,0.9292,0.4661,0
28.0611,71.4004,196.9511,128.5628,28.7943,27.6759,3.0963,3.0707,0.359,2.525,4,0.5731,34.3411,0.8646,0.8369,2
4.1311,12.0675,18.44,24.3246,19.8732,34.8573,3.2168,3.5821,0.5904,1.8221,5,0.7218,19.3781,0.2973,0.6234,0
9.0611,60.6544,100.1583,210.9542,37.0295,33.9335,3.3174,3.044,0.631,1.3594,5,0.5648,24.2887,0.554,0.7831,1
35.484,119.4876,194.6896,396.7695,47.0529,34.7495,3.7651,5.2412,0.6985,2.5521,4,0.8116,42.0054,0.3913,1.4042,2
12.481,49.5526,141.3085,210.3334,32.6477,39.9714,3.7889,3.4236,0.4284,1.9998,5,0.5318,21.0188,0.4237,1.3216,2
1.8681,9.0898,14.7992,23.9246,20.4384,34.7888,5.9303,5.5881,0.5803,1.5706,5,0.7671,27.6368,0.0465,1.3356,0
14.3577,58.762,80.632,130.7364,26.8281,38.4313,4.9134,4.4409,0.7612,2.0969,4,0.5371,29.377,0.2497,0.7132,0
20.3611,105.4333,308.2074,642.0095,49.9173,33.5406,1.7991,3.8964,0.3743,2.7491,5,0.7222,43.8366,0.7064,1.8356,3
7.5878,17.3767,28.2542,46.6341,25.7412,35.313,3.2712,3.7979,0.5991,2.8351,4,0.5427,12.3866,0.765,0.6108,0
0.6985,3.9399,5.9766,5.6348,14.9375,38.0503,3.0347,6.0526,0.4021,2.4539,4,0.742,9.275,0.0531,0.8935,0
1.327,3.4221,7.6631,16.7463,16.8858,21.3428,4.5521,4.3103,0.5442,3.2779,5,0.5035,9.2733,0.3022,1.0006,0
42.6343,102.1202,199.4683,408.203,44.182,30.4426,3.1158,3.7957,0.4954,3.0011,5,1.0,26.7228,0.7733,1.5967,2
8.2654,104.7799,196.5881,314.97,47.1786,29.237,3.8179,5.1534,0.6487,1.8678,5,0.6975,47.7172,0.2245,0.3826,2
6.2226,24.1912,30.0415,24.2207,23.6971,27.889,1.2966,4.8855,0.5616,2.2397,5,0.3261,17.5203,0.4847,0.34,0
17.1219,99.2197,258.3832,229.5669,35.4795,30.7989,2.0378,3.3119,0.434,1.3199,4,0.9699,32.5666,0.4877,1.9199,2
16.1856,43.4483,112.7018,230.9312,30.2997,44.9595,5.2831,4.3052,0.798,3.4089,5,0.5779,24.3521,0.2806,1.2113,1
37.1952,130.7808,144.8757,198.7903,41.0716,26.0734,3.4452,2.4913,0.6231,2.308,4,0.9796,26.4101,0.5358,1.0637,2
26.6702,76.7127,96.9376,201.8879,28.2174,40.7462,2.5014,4.2665,0.7283,3.9043,5,0.5836,32.7057,0.4842,0.8919,1
5.6679,60.097,148.593,246.4554,32.9524,19.537,3.6186,4.6142,0.4576,2.3252,5,0.429,26.012,0.2454,0.402,0
27.0808,78.4389,139.2742,108.1471,26.5407,30.3209,2.4522,4.7479,0.5489,2.4765,4,0.6249,26.3576,0.6685,0.4367,0
21.2227,123.4832,225.1329,469.9159,44.7688,34.302,3.145,3.3005,0.7299,2.9399,5,0.7288,41.3745,0.6242,1.2284,3
15.3533,92.4463,267.8764,456.2642,47.565,37.6898,2.0926,3.5614,0.5025,3.6632,5,0.4236,37.229,0.7838,1.4312,3
31.2478,71.709,208.8012,207.5208,34.7197,38.6898,2.6902,4.5474,0.5993,3.7585,5,0.7146,23.9296,0.1144,1.0859,2
1.2313,8.4193,22.1108,15.8672,11.443,39.3468,3.0253,5.5505,0.5915,2.5993,5,0.7063,15.4117,0.248,1.3092,0
5.1246,55.999,157.6083,115.648,28.6874,30.2102,4.4086,4.3921,0.2928,2.5465,4,0.4894,29.7373,0.2171,0.3714,1
5.3085,17.4344,26.648,52.2342,21.3397,29.3012,3.8176,3.7419,0.5911,2.2396,4,0.4229,23.1503,0.735,1.0339,0
7.2622,17.8186,32.962,51.6217,18.3461,39.8638,3.9747,5.2702,0.5455,3.7156,5,0.699,12.8151,0.1816,1.0339,0
24.483,56.9092,167.5697,225.9417,32.3447,31.4696,3.3768,4.4291,0.5784,3.001,5,0.9162,32.177,0.5733,0.7157,2
7.9105,36.0683,96.107,159.3421,33.4932,22.7945,4.1406,4.4787,0.5065,2.2254,4,0.6387,34.0126,1.2855,1.6535,0
11.7511,45.9836,63.7169,40.4259,26.7393,23.9337,2.6138,5.0977,0.4324,3.163,5,0.8064,18.9414,0.0305,0.24,0
18.3147,72.3002,160.0345,292.5242,37.3689,25.6444,2.7406,4.2037,0.4942,2.9994,5,0.6666,31.9304,0.6412,2.3079,1
11.1845,94.2115,130.2999,271.6723,39.5397,36.9773,3.7668,3.3666,0.5315,2.1847,5,0.7343,28.8083,0.5753,1.687,2
4.8213,64.0442,100.3982,77.929,25.7633,34.1394,3.1488,4.1454,0.6789,2.2833,4,0.9398,25.2971,0.9556,2.4013,1
19.3045,63.3269,176.8239,367.8311,43.8462,38.5239,3.3875,5.4121,0.5272,1.8945,5,0.7022,45.6695,0.6632,2.3272,2
3.9973,20.8033,51.3656,107.8817,29.6434,29.582,3.2523,6.1927,0.6143,3.2869,4,0.7714,35.1332,0.2405,1.59,0
15.4503,51.619,129.2558,185.8098,33.1972,34.2683,4.5281,3.0813,0.6261,2.2711,5,0.3847,24.6579,0.1208,1.4238,0
5.7699,37.0637,64.4375,50.5216,32.4435,38.0047,4.575,5.9373,0.5297,1.8685,4,0.5187,25.6622,0.2475,1.1108,1
4.7244,19.7934,28.5368,27.2361,16.7384,30.5252,2.8365,3.9331,0.7263,3.4805,4,0.4469,13.325,0.1379,0.8289,0
27.2703,72.6398,156.5532,151.0058,29.8252,36.6542,1.8161,4.3205,0.5512,2.7888,4,0.7662,33.0681,0.7499,1.5519,1
2.3614,7.0991,14.3353,27.812,22.5631,27.7046,2.7597,5.9999,0.5271,1.3034,5,0.5607,15.991,0.1466,0.0449,0
7.2434,94.7651,103.0406,110.4307,31.7245,30.0956,2.5927,3.8903,0.7436,3.0211,4,0.8196,28.6055,0.4607,0.0666,1
7.7505,18.1384,32.9035,46.7668,25.93,29.9461,4.1486,4.0256,0.6178,1.4261,5,0.5307,30.6122,0.7104,0.9934,0
14.1146,42.9958,68.9225,149.1691,28.5905,23.4333,4.2284,3.6572,0.2891,2.1034,4,0.5803,29.0155,0.2242,2.2294,1
24.3347,97.8485,127.9428,139.1236,27.1749,36.8958,2.472,4.3379,0.2544,2.8617,5,0.8459,16.7731,0.6737,1.6038,1
5.0542,12.1783,22.4564,13.9813,26.8594,29.2448,2.7209,4.6118,0.8071,2.844,5,0.7084,17.1974,0.321,1.3718,0
12.8103,43.8673,125.454,219.0097,32.3773,33.1,2.0689,3.6129,0.6108,2.1321,5,0.6319,23.9473,0.2771,0.333,2
13.2473,31.0999,36.352,36.0681,27.7085,36.846,3.5209,5.7504,0.5774,1.7942,5,0.7271,33.8705,0.4649,2.2543,0
12.9403,32.2146,67.8611,133.3848,20.0604,36.5722,3.3596,3.5527,0.3116,3.6716,5,0.8209,22.4257,0.6718,1.1282,1
5.1323,16.3763,18.3067,31.3061,15.3269,38.3231,4.1102,4.7984,0.581,3.4887,5,0.5086,22.0034,0.1337,1.7613,0
19.474,51.6021,154.1712,284.6407,32.4211,32.2121,3.8474,4.3265,0.4629,2.4171,5,0.5773,38.0153,0.5419,0.7278,2
2.3859,9.3989,13.2201,21.9034,26.8736,29.6136,3.9492,5.5437,0.559,2.5577,4,0.8228,16.9161,0.0465,0.2732,0
11.959,43.2499,103.6368,87.0004,33.9422,32.3623,2.0122,3.4961,0.5053,2.1497,5,0.4855,17.4025,0.1445,0.9049,0
10.0108,46.2264,128.1738,197.6528,31.3909,19.5013,2.8363,4.8725,0.5624,2.4109,5,0.9307,29.1694,0.6789,0.2192,0
3.5661,21.0275,50.9263,32.0516,26.8483,21.4231,4.254,6.7211,0.6252,2.5875,5,0.6874,34.7162,0.354,0.9903,0
22.797,65.8437,70.1534,84.3273,28.6445,22.4184,2.9153,2.8584,0.6485,3.0425,4,0.712,29.8638,0.0784,0.5023,0
12.961,42.845,98.8707,147.4113,35.5348,25.022,1.9352,3.3994,0.5915,1.5728,4,0.8456,27.5889,2.0292,1.9677,2
3.0331,12.7016,20.1847,29.5867,23.5222,36.1982,4.1272,6.384,0.6139,2.8272,5,0.7152,18.3327,0.0257,0.0021,0
6.6829,53.6755,106.2397,148.403,26.9224,25.7562,2.8805,4.1658,0.368,3.5136,4,0.4286,26.833,0.5616,0.1433,0
4.3274,37.1011,93.7954,141.313,24.1425,29.9747,4.3564,4.4136,0.5891,2.3698,5,0.6628,18.3978,0.021,0.2957,0
8.622,24.8762,45.6833,31.403,20.6386,43.3938,3.3834,3.9677,0.6269,1.9807,5,0.7404,31.2849,0.7493,1.29,1
32.5102,89.9451,118.9175,235.5934,30.394,30.1499,3.1505,5.9542,0.5897,3.2372,4,0.8473,25.0934,0.6586,0.4425,1
1.063,2.6796,6.2046,6.1635,22.8625,38.9001,4.6269,2.6864,0.7932,1.9168,5,0.4809,28.7901,1.0491,1.5216,0
39.0723,126.8983,173.3647,125.5017,41.4621,25.5311,2.2276,5.537,0.5656,1.7854,5,0.5343,33.1835,0.325,0.4953,1
1.283,20.2081,56.5224,102.3974,21.4148,31.3565,4.6908,2.8225,0.4278,1.4721,5,0.455,28.8106,0.3048,1.9803,1
17.3926,102.162,181.9887,238.776,39.5601,25.3998,2.8246,2.7331,0.5999,2.8759,5,0.6732,29.8965,1.1027,0.5829,2
6.7566,40.1043,110.0181,192.5825,34.4507,30.2877,3.5461,3.213,0.5253,1.8137,4,0.6536,33.9568,0.7615,1.0873,1
5.7429,27.2134,47.166,84.2603,25.282,39.7225,3.5546,4.1722,0.3758,1.5558,5,0.5394,14.6343,1.426,0.9832,0
7.1129,36.609,50.4229,62.5815,19.8298,19.1814,3.0156,3.5857,0.5604,2.6577,5,0.7288,14.2639,0.0513,0.3143,0
4.3279,24.2822,48.188,70.4411,27.0476,36.4754,2.7141,3.5264,0.7919,1.925,5,0.3245,11.9431,0.3739,0.2764,0
22.3195,57.643,150.7518,139.7732,29.8533,34.9019,3.0672,3.3724,0.552,2.9338,5,0.6348,18.5065,0.4551,2.5889,1
4.5293,18.8473,28.2632,17.4705,24.0591,28.2468,2.4869,3.3897,0.7408,2.8803,4,0.8281,24.5553,0.0346,2.1923,0
5.7732,18.2494,33.6453,72.7655,23.1943,21.4315,5.1658,3.3672,0.6933,2.6189,5,0.8141,27.6695,0.1638,2.6186,1
7.6267,33.8998,85.376,169.0913,28.2614,33.577,2.967,4.5349,0.9077,2.1024,4,0.944,24.0189,0.1097,1.7998,1
3.3157,44.7586,112.0389,169.6945,29.174,28.7641,4.4431,3.6641,0.659,3.0573,4,0.8762,26.5559,0.3108,0.1745,1
29.6467,69.9565,140.8033,211.623,35.2008,34.8614,4.3245,1.6348,0.6099,1.7151,5,0.7374,36.9489,1.7389,3.2018,2
11.0916,26.7157,51.4473,89.9199,15.0627,33.1748,3.7266,4.2627,0.6116,3.2602,5,0.4694,31.3281,0.4511,0.0331,0
1.8961,15.9344,22.758,15.5561,22.4212,45.8142,3.2779,5.0494,0.6362,2.4298,5,0.6113,10.4936,0.1281,1.1442,0
14.1782,58.8965,136.2706,145.932,35.2804,31.0852,3.5744,4.0212,0.5662,2.5135,5,0.616,27.3555,0.7647,0.6637,1
9.7926,104.8065,140.202,129.642,34.5406,24.812,3.915,3.0392,0.5339,2.7935,5,0.9273,26.5341,0.9274,1.0975,2
4.2012,17.3731,28.3262,28.6026,16.031,34.4342,3.4904,5.045,0.6599,3.3487,5,0.8764,21.5284,0.4873,0.9874,0
2.0334,6.5969,7.2613,14.5416,21.0921,34.76,1.9899,2.9275,0.5178,2.7559,5,0.5184,19.2654,0.5507,1.5092,0
2.9437,32.6904,71.1607,128.926,24.0714,43.8735,1.7635,3.9788,0.3573,2.3002,5,1.0,18.8842,0.9024,1.9888,1
36.2077,103.7249,254.876,431.1825,42.4454,39.6809,4.7581,4.2781,0.4297,2.9257,5,0.6706,38.1409,0.799,1.5658,3
1.0254,2.5695,3.6869,7.2739,21.162,35.855,1.0288,5.3792,0.8141,3.2559,5,0.5899,19.1717,0.0863,1.0866,0
4.3811,38.1547,67.8172,115.3113,26.6428,44.7064,3.5761,4.8777,0.5585,3.191,5,0.5976,20.5282,0.0514,0.4559,1
12.1615,27.6268,48.4073,50.887,27.3165,23.4899,3.1885,4.5384,0.6999,2.7048,5,0.4409,24.5629,1.3014,0.2647,0
8.3161,27.487,68.888,104.4853,27.1958,27.882,3.5447,5.2306,0.5093,2.7211,5,0.5615,17.318,0.1481,0.1764,0
21.752,49.295,131.0748,215.3952,23.9137,25.5874,2.374,3.142,0.7156,2.8174,5,1.0,20.3054,0.0372,0.8265,1
21.7846,115.795,331.1451,516.6916,50.9242,29.8815,3.7156,5.88,0.6523,3.0917,5,0.8918,40.3458,1.2719,0.7282,3
1.6328,4.1111,5.2093,3.2806,22.5625,21.9865,3.5854,1.5,0.8588,2.5031,5,0.7366,24.4367,0.5679,0.0855,0
6.1338,23.5055,30.8095,67.0976,21.8047,38.0812,5.8849,5.7278,0.7712,2.6888,4,0.919,22.2662,0.4802,2.067,0
6.0887,15.6544,31.4682,51.9096,17.545,31.2222,3.517,3.4587,0.6956,2.6715,5,0.6371,19.9592,0.3398,1.0611,0
9.1167,47.1279,89.6988,176.8056,33.0981,21.2335,4.6134,4.6802,0.5235,1.7435,5,0.7899,33.747,0.5333,0.4273,1
24.9572,56.5861,84.8906,184.1132,28.9915,24.8754,2.0512,5.7485,0.4472,2.2158,5,0.8174,21.4908,0.097,0.1181,0
3.4598,16.384,43.3466,36.2661,21.3646,35.5081,4.3181,4.8609,0.5818,3.1913,5,0.9952,20.8579,1.0204,0.4452,0
10.0036,31.8728,90.1068,152.8123,20.8611,39.705,3.6036,4.6724,0.6025,3.7717,4,0.8437,18.4283,0.3307,0.4778,0
11.8533,44.8482,49.5966,89.9251,31.4733,48.9738,3.6428,5.1663,0.5468,2.6371,4,0.4451,25.8862,0.4273,0.2373,0
3.9965,55.0778,76.0526,105.8406,29.2175,56.3109,3.6552,2.8201,0.6917,2.5221,5,0.9436,37.6841,1.4303,4.2551,3
6.0389,28.3868,48.4552,57.9087,26.1454,36.3153,4.9357,2.9701,0.6101,2.264,5,0.6634,28.7738,0.3703,1.5709,0
1.2427,7.1919,20.6885,45.3487,25.7383,25.0837,3.6296,4.5714,0.5997,1.1457,5,0.5867,18.4956,0.086,1.2683,0
7.899,27.7836,42.5861,80.1835,15.3869,15.9436,2.6943,4.1024,0.7981,3.5298,4,0.2255,21.8553,0.0145,0.6086,0
11.2793,59.1956,137.1823,153.6457,27.9932,35.1417,2.8457,3.9872,0.6136,2.1235,5,0.3955,30.374,0.0277,0.9444,1
0.3836,4.9947,13.4192,22.7079,28.4552,26.4965,4.1354,5.5382,0.4238,1.5985,4,0.7611,25.1134,0.1796,1.0076,0
5.9286,28.1019,68.0313,101.3976,20.5573,29.6771,3.8027,5.4515,0.7331,2.7771,5,0.5872,17.2866,0.2103,0.0669,0
4.2208,41.5565,41.6981,44.7217,26.1213,28.1032,2.0226,3.3793,0.6272,2.5952,5,0.5122,17.8913,0.1422,1.5806,0
53.9721,148.0452,406.1166,815.7812,53.8536,31.8737,3.8632,4.7424,0.5646,3.8793,5,0.7473,65.9238,0.9447,2.8549,3
6.1865,21.2703,43.1415,72.8037,20.1967,41.5278,2.4259,2.7357,0.4757,2.8908,5,0.7004,16.5696,1.2608,1.389,1
8.1356,45.8719,72.7257,124.0364,23.7572,34.2564,3.7944,2.7116,0.764,3.5514,5,0.6385,19.2044,0.2513,0.389,0
4.154,55.5253,133.7016,227.7317,31.274,31.7309,2.675,3.4072,0.8197,3.0301,5,0.333,21.9518,0.008,0.4056,0
15.5442,39.5571,52.3154,64.3551,33.6648,24.7148,3.1467,4.247,0.5126,2.2419,5,0.5937,26.168,0.2544,2.5691,0
16.9124,74.2526,158.7475,249.4814,29.0496,19.6025,2.9097,3.6469,0.6387,4.1096,5,0.4689,29.6697,0.1318,0.4818,0
12.1888,42.3178,59.9444,95.262,27.6481,29.1095,4.767,4.7512,0.6571,3.5787,4,0.7645,27.6842,0.2373,0.5875,0
3.1023,29.36,80.1928,170.5152,24.8847,32.5697,3.7617,4.2847,0.3733,2.9471,5,0.5816,26.9377,0.6568,1.2753,1
13.2728,54.4018,133.8391,188.8164,24.5079,47.1434,4.535,5.4141,0.5943,3.2718,4,0.5523,24.3307,0.3021,0.1169,1
0.8634,10.0094,28.4083,17.703,22.0248,34.0422,6.0057,4.8456,0.3736,2.8136,5,1.0,32.1465,0.7357,1.0681,0
35.5379,90.893,137.7378,229.4993,35.2327,40.8619,3.4421,3.2615,0.5976,2.7427,5,0.555,33.0677,0.6027,1.2571,2
6.2052,14.6769,19.2032,13.2848,20.0886,29.0056,4.7518,5.2006,0.8942,2.8981,5,0.7862,23.8036,0.2935,0.024,0
6.3985,20.2623,38.649,65.9501,21.4114,23.5204,2.7705,3.438,0.4116,3.8678,4,0.3587,18.6473,0.0783,2.1377,0
9.6413,25.4,37.4301,52.4193,27.034,25.2791,4.5294,4.7115,0.8439,3.3452,5,0.7264,38.1325,0.0309,0.1741,0
1.8683,31.2984,36.2228,78.1637,27.6148,27.1982,2.6732,3.8077,0.8309,2.6007,5,0.7947,18.4895,0.7096,0.788,0
10.0429,32.4675,67.4435,51.6451,25.0877,50.0278,3.3834,5.6241,0.5993,2.7399,5,0.5461,28.1911,0.7558,0.7458,1
13.529,37.8368,66.9063,99.8241,28.976,26.4289,3.8832,5.0312,0.667,1.6629,5,0.6756,29.5585,0.2015,0.3523,0
4.0579,73.9699,159.3197,131.6187,29.4082,39.7079,4.0248,3.6074,0.5632,2.6887,4,0.6928,29.3677,1.0069,1.4846,1
12.4645,31.949,86.5993,82.98,25.2663,25.7766,2.2547,3.914,0.5419,2.978,5,0.7886,12.8346,1.2744,0.0571,0
12.6037,40.3528,49.6178,108.0697,18.0036,40.4526,2.6197,7.5693,0.6264,2.8524,4,0.8105,14.1759,0.1345,0.1284,0
46.7305,125.4759,303.5974,637.0236,56.1937,36.0796,3.9503,3.039,0.4993,2.7267,5,0.7812,49.5731,1.0895,3.3501,3
10.3906,56.3014,146.0807,275.3992,37.6088,31.7469,3.0691,3.5801,0.6615,2.2047,5,0.7231,28.0564,0.4904,0.896,1
22.9939,66.769,77.1042,49.1237,27.2558,32.6739,2.1424,3.629,0.6054,3.1476,4,0.5629,13.7777,1.3346,0.1678,1
8.2107,85.0881,187.7131,267.2855,35.7049,27.7617,3.3361,3.1411,0.4612,3.2163,4,0.4455,46.2346,0.3402,1.0991,2
18.2994,58.5318,70.2062,94.6612,32.3908,36.5686,3.2929,3.2461,0.6922,2.6537,5,1.0,21.1638,0.5546,0.9871,1
4.5053,11.3294,30.3289,46.0962,23.2601,29.3601,3.5592,4.1913,0.6956,2.6551,4,0.7665,15.2681,0.3965,1.5328,0
3.776,23.123,46.8943,66.4026,25.3003,23.1952,3.8763,4.7765,0.746,2.5879,5,0.4977,28.0225,0.0371,0.7285,0
1.3987,15.17,26.5,35.6157,18.8856,22.7765,3.8191,2.7069,0.5376,2.7915,5,1.0,24.0038,0.3128,1.3407,0
9.4829,25.2667,58.3018,88.3481,24.9159,34.3807,2.7086,3.7986,0.7338,2.9198,5,0.4665,20.9363,0.1366,0.2916,0
3.312,43.5392,85.6052,76.991,30.3274,45.6327,3.0303,3.496,0.8817,1.6085,4,0.6925,26.7125,0.4764,2.9406,2
5.2662,12.3079,20.6142,16.0058,26.0685,34.2799,4.235,3.1295,0.6039,2.3191,5,0.638,30.7478,0.7624,1.7277,0
8.4284,24.9812,32.5833,70.5103,23.0527,32.0509,2.9111,5.2958,0.6154,1.8364,5,0.8351,12.0901,0.0106,0.2952,0
7.7828,52.6162,102.1137,62.6789,32.108,35.2866,3.0444,3.535,0.6882,2.2733,5,0.6707,18.9345,0.1879,2.0396,0
2.6751,9.8514,16.7171,31.1915,10.7345,43.448,2.0462,2.9301,0.3185,3.3342,5,0.6261,19.2677,0.5575,3.3032,0
8.0311,27.8283,30.4109,53.4541,28.0876,34.7551,3.3742,5.1801,0.4224,2.0047,5,0.8545,22.7616,0.1173,1.5762,1
2.5267,5.7876,11.5297,17.7346,20.5831,29.7126,3.7107,5.5512,0.5284,1.6421,5,0.5199,18.5293,0.2647,0.1424,0
4.3003,22.4392,30.5618,41.6979,30.2179,41.8503,1.6221,4.5377,0.5557,1.8004,5,0.5673,15.656,0.4678,0.2414,0
1.5254,26.6124,32.3862,21.5225,27.4035,36.4301,2.4368,3.3592,0.6146,2.7607,5,0.6174,15.8807,0.0129,0.399,0
2.7621,21.2138,59.3611,106.4032,25.0607,45.286,2.1204,4.0223,0.6347,3.0288,4,0.664,20.6388,0.1872,0.9418,0
1.6251,10.808,30.5078,53.435,23.9243,34.4659,4.1095,3.645,0.4215,2.6134,4,0.3083,29.4478,0.66,2.4053,0
4.286,20.4962,46.3064,33.643,22.4471,23.2042,1.6789,4.2506,0.7498,1.3467,5,0.7457,5.1358,0.4259,0.8459,0
5.8965,24.8961,44.0826,54.2489,26.5346,22.0547,3.3292,5.0159,0.6433,2.1729,4,0.6143,19.4765,1.6721,0.2423,0
11.9159,37.1677,93.3141,171.3462,18.1338,46.2074,4.0461,4.2748,0.6078,3.5819,4,1.0,22.6874,0.9189,1.3682,1
